t,s
0.0062,2.4879089037135575e-05
0.00621,2.4899144734900477e-05
0.00622,2.4919184291250886e-05
0.00623,2.4939207745097434e-05
0.00624,2.495921513519467e-05
0.00625,2.497920650014194e-05
0.00626,2.4999181878384267e-05
0.00627,2.5019141308213176e-05
0.00628,2.50390848277676e-05
0.00629,2.50590124750347e-05
0.0063,2.5078924287850693e-05
0.00631,2.5098820303901736e-05
0.00632,2.5118700560724726e-05
0.00633,2.513856509570814e-05
0.00634,2.5158413946092832e-05
0.00635,2.517824714897288e-05
0.00636,2.519806474129638e-05
0.00637,2.521786675986624e-05
0.00638,2.523765324134099e-05
0.00639,2.5257424222235576e-05
0.0064,2.527717973892212e-05
0.00641,2.529691982763075e-05
0.00642,2.531664452445032e-05
0.00643,2.533635386532923e-05
0.00644,2.5356047886076132e-05
0.00645,2.5375726622360768e-05
0.00646,2.5395390109714626e-05
0.00647,2.5415038383531796e-05
0.00648,2.5434671479069614e-05
0.00649,2.5454289431449463e-05
0.0065,2.54738922756575e-05
0.00651,2.5493480046545342e-05
0.00652,2.5513052778830844e-05
0.00653,2.553261050709878e-05
0.00654,2.5552153265801572e-05
0.00655,2.5571681089259982e-05
0.00656,2.5591194011663844e-05
0.00657,2.561069206707273e-05
0.00658,2.563017528941667e-05
0.00659,2.564964371249682e-05
0.0066,2.566909736998616e-05
0.00661,2.5688536295430176e-05
0.00662,2.5707960522247504e-05
0.00663,2.572737008373065e-05
0.00664,2.574676501304662e-05
0.00665,2.5766145343237595e-05
0.00666,2.578551110722157e-05
0.00667,2.5804862337793043e-05
0.00668,2.5824199067623617e-05
0.00669,2.5843521329262684e-05
0.0067,2.5862829155138037e-05
0.00671,2.588212257755652e-05
0.00672,2.5901401628704647e-05
0.00673,2.592066634064924e-05
0.00674,2.593991674533805e-05
0.00675,2.595915287460036e-05
0.00676,2.597837476014762e-05
0.00677,2.5997582433574045e-05
0.00678,2.6016775926357216e-05
0.00679,2.6035955269858706e-05
0.0068,2.6055120495324636e-05
0.00681,2.6074271633886318e-05
0.00682,2.6093408716560805e-05
0.00683,2.61125317742515e-05
0.00684,2.6131640837748726e-05
0.00685,2.6150735937730314e-05
0.00686,2.6169817104762168e-05
0.00687,2.6188884369298846e-05
0.00688,2.6207937761684113e-05
0.00689,2.6226977312151528e-05
0.0069,2.6246003050824973e-05
0.00691,2.626501500771923e-05
0.00692,2.6284013212740538e-05
0.00693,2.630299769568712e-05
0.00694,2.632196848624975e-05
0.00695,2.6340925614012265e-05
0.00696,2.6359869108452157e-05
0.00697,2.6378798998941042e-05
0.00698,2.639771531474525e-05
0.00699,2.64166180850263e-05
0.007,2.643550733884147e-05
0.00701,2.6454383105144296e-05
0.00702,2.6473245412785094e-05
0.00703,2.6492094290511454e-05
0.00704,2.65109297669688e-05
0.00705,2.6529751870700848e-05
0.00706,2.654856063015014e-05
0.00707,2.6567356073658533e-05
0.00708,2.6586138229467693e-05
0.00709,2.6604907125719614e-05
0.0071,2.6623662790457086e-05
0.00711,2.6642405251624183e-05
0.00712,2.666113453706677e-05
0.00713,2.667985067453297e-05
0.00714,2.6698553691673644e-05
0.00715,2.6717243616042858e-05
0.00716,2.6735920475098396e-05
0.00717,2.6754584296202186e-05
0.00718,2.6773235106620776e-05
0.00719,2.679187293352583e-05
0.0072,2.6810497803994555e-05
0.00721,2.6829109745010168e-05
0.00722,2.684770878346237e-05
0.00723,2.6866294946147766e-05
0.00724,2.6884868259770365e-05
0.00725,2.6903428750941966e-05
0.00726,2.692197644618265e-05
0.00727,2.694051137192121e-05
0.00728,2.695903355449559e-05
0.00729,2.6977543020153294e-05
0.0073,2.699603979505188e-05
0.00731,2.701452390525932e-05
0.00732,2.7032995376754502e-05
0.00733,2.7051454235427584e-05
0.00734,2.706990050708047e-05
0.00735,2.708833421742722e-05
0.00736,2.7106755392094444e-05
0.00737,2.712516405662174e-05
0.00738,2.7143560236462108e-05
0.00739,2.7161943956982343e-05
0.0074,2.7180315243463465e-05
0.00741,2.719867412110111e-05
0.00742,2.7217020615005936e-05
0.00743,2.7235354750204018e-05
0.00744,2.7253676551637272e-05
0.00745,2.7271986044163818e-05
0.00746,2.7290283252558386e-05
0.00747,2.730856820151272e-05
0.00748,2.732684091563594e-05
0.00749,2.7345101419454957e-05
0.0075,2.7363349737414826e-05
0.00751,2.7381585893879173e-05
0.00752,2.7399809913130522e-05
0.00753,2.741802181937071e-05
0.00754,2.7436221636721247e-05
0.00755,2.745440938922369e-05
0.00756,2.7472585100840015e-05
0.00757,2.749074879545298e-05
0.00758,2.7508900496866508e-05
0.00759,2.7527040228806024e-05
0.0076,2.7545168014918836e-05
0.00761,2.7563283878774502e-05
0.00762,2.758138784386517e-05
0.00763,2.7599479933605926e-05
0.00764,2.7617560171335177e-05
0.00765,2.763562858031497e-05
0.00766,2.765368518373138e-05
0.00767,2.7671730004694816e-05
0.00768,2.768976306624038e-05
0.00769,2.7707784391328234e-05
0.0077,2.7725794002843915e-05
0.00771,2.774379192359866e-05
0.00772,2.776177817632979e-05
0.00773,2.7779752783701005e-05
0.00774,2.7797715768302737e-05
0.00775,2.781566715265247e-05
0.00776,2.783360695919507e-05
0.00777,2.7851535210303127e-05
0.00778,2.786945192827727e-05
0.00779,2.788735713534649e-05
0.0078,2.7905250853668443e-05
0.00781,2.7923133105329815e-05
0.00782,2.794100391234661e-05
0.00783,2.7958863296664467e-05
0.00784,2.7976711280158976e-05
0.00785,2.7994547884635985e-05
0.00786,2.8012373131831943e-05
0.00787,2.803018704341415e-05
0.00788,2.804798964098114e-05
0.00789,2.8065780946062917e-05
0.0079,2.8083560980121292e-05
0.00791,2.8101329764550177e-05
0.00792,2.8119087320675904e-05
0.00793,2.8136833669757498e-05
0.00794,2.8154568832986985e-05
0.00795,2.8172292831489682e-05
0.00796,2.81900056863245e-05
0.00797,2.8207707418484234e-05
0.00798,2.822539804889584e-05
0.00799,2.824307759842075e-05
0.008,2.8260746087855122e-05
0.00801,2.827840353793017e-05
0.00802,2.8296049969312398e-05
0.00803,2.831368540260393e-05
0.00804,2.833130985834276e-05
0.00805,2.834892335700304e-05
0.00806,2.8366525918995357e-05
0.00807,2.838411756466701e-05
0.00808,2.840169831430228e-05
0.00809,2.841926818812271e-05
0.0081,2.843682720628739e-05
0.00811,2.8454375388893167e-05
0.00812,2.8471912755975002e-05
0.00813,2.8489439327506162e-05
0.00814,2.8506955123398528e-05
0.00815,2.852446016350284e-05
0.00816,2.8541954467608963e-05
0.00817,2.855943805544615e-05
0.00818,2.8576910946683315e-05
0.00819,2.8594373160929258e-05
0.0082,2.8611824717732953e-05
0.00821,2.862926563658378e-05
0.00822,2.8646695936911807e-05
0.00823,2.8664115638088025e-05
0.00824,2.8681524759424582e-05
0.00825,2.8698923320175063e-05
0.00826,2.8716311339534727e-05
0.00827,2.8733688836640757e-05
0.00828,2.875105583057249e-05
0.00829,2.8768412340351686e-05
0.0083,2.8785758384942752e-05
0.00831,2.8803093983252995e-05
0.00832,2.8820419154132845e-05
0.00833,2.8837733916376133e-05
0.00834,2.8855038288720272e-05
0.00835,2.8872332289846552e-05
0.00836,2.8889615938380327e-05
0.00837,2.8906889252891277e-05
0.00838,2.892415225189364e-05
0.00839,2.8941404953846432e-05
0.0084,2.8958647377153677e-05
0.00841,2.8975879540164654e-05
